Uuid,Void/Retire,Workflow,State concept,Initial,Terminal
872c529c-a5a4-47c7-9584-bd15fa5bb0a9,,aba55bfe-9490-4362-9841-0c476e379889,3cdc0a8c-26fe-102b-80cb-0017a47871b2,true,
d7727695-44bf-4d58-a5c6-1424a3959581,,aba55bfe-9490-4362-9841-0c476e379889,3ceb0ed8-26fe-102b-80cb-0017a47871b2,true,
E64A842B-E4A6-49B4-882A-4F578A94400A,,aba55bfe-9490-4362-9841-0c476e379889,3cdc0604-26fe-102b-80cb-0017a47871b2,true,
9923649A-D60C-4BEC-8A1D-E5AAC5EAA1BC,,aba55bfe-9490-4362-9841-0c476e379889,3cdceb64-26fe-102b-80cb-0017a47871b2,true,
6AC27007-C271-424B-8EEF-326D94C681FA,,aba55bfe-9490-4362-9841-0c476e379889,a3c87bc9-b335-481c-94b1-8c47b7ff06ed,true,
2332EC51-80CF-4FB4-88E1-9B74427BAC1E,true,aba55bfe-9490-4362-9841-0c476e379889,3cdc0d7a-26fe-102b-80cb-0017a47871b2,true,
51579e44-bf3a-11e7-abc4-cec278b6b50a,,51579bce-bf3a-11e7-abc4-cec278b6b50a,df3e1542-035a-404f-84d6-8cb9b4266551,true,
51579fde-bf3a-11e7-abc4-cec278b6b50a,,51579bce-bf3a-11e7-abc4-cec278b6b50a,c799a966-e204-4d81-8bc6-31b3310ece5a,true,
5157a15a-bf3a-11e7-abc4-cec278b6b50a,,51579bce-bf3a-11e7-abc4-cec278b6b50a,84d0a344-2725-437c-a9d7-e86be508c13c,true,
483b4e4a-39b7-4793-9f95-cc121fded9b7,,ee228c4f-f898-494a-9740-213f757cb10c,161636AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,
84fc28a6-0450-42fc-9820-e6c2a760a7b6,,ee228c4f-f898-494a-9740-213f757cb10c,3ceb0ed8-26fe-102b-80cb-0017a47871b2,,
18ec4e26-aba5-11e8-98d0-529269fb1459,,157333e6-6851-11e8-adc0-fa7ae01bbebc,3ce1d688-26fe-102b-80cb-0017a47871b2,true,
18ec50f6-aba5-11e8-98d0-529269fb1459,,157333e6-6851-11e8-adc0-fa7ae01bbebc,3cd9bd04-26fe-102b-80cb-0017a47871b2,true,
21727bd1-ada8-11eb-805a-0242ac110002,,157333e6-6851-11e8-adc0-fa7ae01bbebc,324fdca6-6d0d-4898-89fd-2a3fa5a52bd5,true,
1573301c-6851-11e8-adc0-fa7ae01bbebc,,157333e6-6851-11e8-adc0-fa7ae01bbebc,651f2289-9a4e-404b-8c93-894ab7349da5,true,
45ffaace-684e-11e8-adc0-fa7ae01bbebc,,45ffa97a-684e-11e8-adc0-fa7ae01bbebc,160849AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,
45ffabfa-684e-11e8-adc0-fa7ae01bbebc,,45ffa97a-684e-11e8-adc0-fa7ae01bbebc,160847AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,
